ProductID,ProductNo,ProductName,DocketName,Barcode,SKU,Unit,DefaultSize,SellPriceIncTax,SellTaxCode,CostPriceIncTax,CostTaxCode,IsModifier,PrintDocket,Tags,CategoryNames,SellAccount,BuyAccount,InventoryAccount,ImageUrl,ReportingGroup,FriendlyName,ShowOnline,OnlineDescription,InventoryType,PurchaseFormat,PurchaseQty,Container,VariableQtyPrompt
20700616,,"Angas & Bremer Rosé - Bottle",,,,ml,750,49,GST,8.7700,GST,0,1,"ALCOHOL,stock,stock-wine",WINE,1,1,1,,"Rose Wine [Harrys]",,1,,1,Crates,12,UNIT,
22995396,,"Chilli Flakes [1kg]",,,28087,unit,1,0,FRE,13.7000,FRE,0,0,,,0,1,1,,,,,,1,Individual,1,UNIT,
22920844,,"Cinnamon Quills [200g]",,,,g,200,0,FRE,10.0000,FRE,0,1,,,0,1,1,,,,,,1,Individual,1,UNIT,
20744460,,"Mancino Sakura Vermouth [Bottle]",,,,ml,500,0,GST,47.2800,GST,0,1,"stock,stock-spirit",,0,1,1,,,,1,,1,Individual,1,BOTTLE,
21463469,,"Massenez Cacao Blanc [Bottle]",,,,ml,750,0,GST,45.0000,GST,0,1,,,,,,,,,1,,1,Individual,1,UNIT,
22920852,,"Panko Bread Crumbs [10kg]",,,,kg,10000,0,FRE,52.0000,FRE,0,1,,,0,1,1,,,,,,1,Individual,1,UNIT,
22898787,,"Ramen Noodles Fresh [kg]",,,,kg,1,0,FRE,7.2200,FRE,0,1,,,0,1,1,,,,,,1,Individual,,UNIT,
23280990,,"Fresh is Best Summer Lager - Pint [HG]",,,,unit,1,12,GST,0.0000,GST,0,1,,BEERS,,,,,"Tap Beer [Harrys]",,1,,1,Individual,1,UNIT,
20735492,,"Manhattan - Dry [HG]",,,,unit,1,19,GST,0.0000,GST,0,1,ALCOHOL,COCKTAILS,1,0,0,,"Cocktails - Classic [Harrys]",,1,,,,,UNIT,
22286413,,"Tropic Thunder",,,,unit,1,14,GST,0.0000,GST,0,1,,NON-ALC,,,,,"Mocktails [Harrys]",,1,,,Individual,1,UNIT,
22082302,,"Virgin Margy",,,,unit,1,13,GST,0.0000,GST,0,1,,NON-ALC,,,,,"Mocktails [Harrys]",,1,,,Individual,1,UNIT,
22645485,,"Add Pepperoni",,,,unit,1,2,GST,0.0000,GST,1,1,,,,,,,"Stow Food [Harrys]",,1,,1,Individual,1,UNIT,
22995384,,"Avocado Hass [Tray]",,,AH20T,unit,1,0,FRE,22.0000,FRE,0,0,,,0,1,1,,,,,,1,Individual,1,UNIT,
22995416,,"Lettuce Mesculin [1.5kg]",,,LMM15BX,unit,1,0,FRE,17.4000,FRE,0,0,,,0,1,1,,,,,,1,Individual,1,UNIT,
22645171,,"No Mayo",,,,unit,1,0,GST,0.0000,GST,1,1,,,,,,,,,1,,1,Individual,1,UNIT,
22995422,,"Pizza Flour Manildra [12.5kg]",,,10663,unit,1,0,FRE,13.9000,FRE,0,0,,,0,1,1,,,,,,1,Individual,1,UNIT,
20750182,,"Poor Tom's Strawberry Gin [Bottle]",,,,ml,700,0,GST,71.3600,GST,0,1,"stock,stock-spirit",,0,1,1,,,,1,,1,Individual,1,BOTTLE,
21453063,,Pork,,,,unit,1,2,GST,0.0000,GST,1,1,,,,,,,"Add-ons - Kitchen [Harrys]",,1,,1,Individual,1,UNIT,
20750197,,"Vinada Sparking Chardonnay [Bottle]",,,,ml,750,0,GST,12.5600,GST,0,1,"stock,stock-spirit",,0,1,1,,,,1,,1,Crates,6,BOTTLE,
