"ID","ProductName","Cost","Qty","Counted","Variance","CostVariance","CostCounted"
20645881,"Veuve Clicquot Yellow Label - Bottle",80.76,4.5,4.5,0,0,363.42
20466168,"Villa Fresco Sangiovese - Bottle",12.06,2.8,4.8,2,24.12,57.89
21749602,"Whispering Angel Rosé - Bottle",32.75,3.5,3.5,0,0,114.63
20484930,"White Light Vodka [20L]",1012.78,1.46,1.46,0,0,1481.7
20492747,"Wolf Lane Navy Gin [Bottle]",85.14,0.4,1.4,1,85.14,119.2
20492750,"Wray & Nephew's OR Rumbar OP Rum [Bottle]",95.39,0.85,0.85,0,0,81.08
23253690,"Xocolatl Mole Bitters [Bottle]",29.44,0.05,0.05,0,0,1.41
22001021,"Year Wines Fiano - Bottle",21.36,7.95,7.95,0,0,169.81
20445713,"Young Henrys Cloudy Cider Can",2.82,25,25,0,0,70.5
20488005,"Zacapa Centenario 23yr [Bottle]",107.59,1.14,1.14,0,0,122.44
