item_id,item_name,base_unit,conflict,recipe_units_seen,note
lightspeed:20485056,Cri De Couer Pinot Noir - Bottle,ml,false,mlx3,
lightspeed:20487270,Angostura Bitters [200ml],ml,false,mlx23,
lightspeed:20487286,Four Pillars Bloody Shiraz [Bottle],ml,false,mlx2,
lightspeed:20487298,Alehouse Draught Lager [Keg],ml,false,mlx4,
lightspeed:20487313,Alehouse Summer Mid [Keg],ml,false,mlx3,
lightspeed:20487319,Noilly Prat Dry Vermouth [Bottle],ml,false,mlx17,
lightspeed:20487328,De Bortoli Gold Seal Dry Red [15L],ml,false,mlx5,
lightspeed:20487331,Gospel Solera Rye [Bottle],ml,false,mlx3,
lightspeed:20487426,Grifter Pale [Keg],ml,false,mlx2,
lightspeed:20487459,Harveys Bristol Cream Sherry [Bottle],ml,false,mlx1,
lightspeed:20487709,Manly Spirits Limoncello [Bottle],ml,false,mlx2,
lightspeed:20487793,Massenez Black Cacao [5L],ml,false,mlx2,
lightspeed:20487805,Fee Bros Black Walnut Bitters [150ml],ml,false,mlx2,
lightspeed:20487875,Philter Red [Keg],ml,false,mlx2,
lightspeed:20487938,Philter XPA [Keg],ml,false,mlx2,
lightspeed:20487958,Poor Tom's Strawberry Gin [Bottle],ml,false,mlx3,
lightspeed:20488005,Zacapa Centenario 23yr [Bottle],ml,false,mlx4,
lightspeed:20488033,Seadrift Coast [Bottle],ml,false,mlx1,
lightspeed:20488066,Grifter Serpents Kiss Can,,true,mlx2|eax1,"consumed in each, ml — two things under one id, or a recipe typo"
lightspeed:20492634,Status Quo [Keg],ml,false,mlx2,
lightspeed:20492637,Stone & Wood [Keg],ml,false,mlx3,
lightspeed:20492640,Chartreuse Yellow [Bottle],ml,false,mlx1,
lightspeed:20492642,Massenez Wild Strawberry [750ml],ml,false,mlx1,
lightspeed:20492685,Lyre's Italian Spritz [Bottle],ml,false,mlx1,
lightspeed:20492687,Vinada Sparking Rosé [Bottle],ml,false,mlx2,
lightspeed:20492688,Disaronno [Bottle],ml,false,mlx3,
lightspeed:20492689,Domaine de Canton Ginger Liqueur [Bottle],ml,false,mlx1,
lightspeed:20492690,Italicus Bergamot Liqueur [Bottle],ml,false,mlx2,
lightspeed:20492692,Massenez Cacao Blanc [750ml],ml,false,mlx2,
lightspeed:20492694,Tanqueray 10 [Bottle],ml,false,mlx1,
lightspeed:20492697,Tequila Ocho Anejo [Bottle],ml,false,mlx1,
lightspeed:20492701,Tito's Vodka [Bottle],ml,false,mlx1,
lightspeed:20492707,Chambord [Bottle],ml,false,mlx5,
lightspeed:20492724,Wray & Nephew's OR Rumbar OP Rum [Bottle],ml,false,mlx1,
lightspeed:20496148,Old Panther [Keg],ml,false,mlx2,
lightspeed:20512316,Tempus Fugit Violette [Bottle],ml,false,mlx2,
lightspeed:20512320,Luxardo Maraschino [Bottle],ml,false,mlx7,
lightspeed:20512408,Germano Caetano Cachaça [Bottle],ml,false,mlx3,
lightspeed:20512418,Joseph Cartron Apricot Brandy [Bottle],ml,false,mlx2,
lightspeed:20512419,Brookie's Slow Gin [Bottle],ml,false,mlx2,
lightspeed:20512429,Lillet Blanc Aperitif [Bottle],ml,false,mlx4,
lightspeed:20512432,Pernod Absinthe [Bottle],ml,false,mlx2,
lightspeed:20512442,Chartreuse Green [Bottle],ml,false,mlx2,
lightspeed:20512452,Bols Genever [Bottle],ml,false,mlx1,
lightspeed:20512724,Pimm's Aperitif [Bottle],ml,false,mlx1,
lightspeed:20512731,Barsol Pisco [Bottle],ml,false,mlx1,
lightspeed:20512800,St. Remy Brandy [Bottle],ml,false,mlx2,
lightspeed:20564868,Lime [Tray],,true,trayx1,"only ever consumed in tray, which has no declared conversion"
lightspeed:20564869,Lemon [Sliced],,true,gx13|mlx5,"consumed in g, ml — two things under one id, or a recipe typo"
lightspeed:20564881,Cucumber,each,false,eax1,
lightspeed:20645869,Crankshaft IPA [Keg],ml,false,mlx2,
lightspeed:20645881,Veuve Clicquot Yellow Label - Bottle,ml,false,mlx3,
lightspeed:20645891,Screaming Betty Vermentino [750ml],ml,false,mlx1,
lightspeed:20645902,Unico Zelo Terra Cotta - Bottle,ml,false,mlx3,
lightspeed:20645909,Dragonfly Grenache - Bottle,ml,false,mlx3,
lightspeed:20645912,Travelling While Standing Still Gin [700ml],ml,false,mlx1,
lightspeed:20645918,Gosling's Black Rum [700ml],ml,false,mlx2,
lightspeed:20655236,Geppetto Pinot Noir - Bottle,ml,false,mlx3,
lightspeed:20655376,De La Grosse Beaujolais - Bottle,ml,false,mlx3,
lightspeed:20681676,Lemonade [mixer],each,false,eax2,
lightspeed:20681681,Pink Lemonade [mixer],each,false,eax1,
lightspeed:20691638,Heaps Normal Quiet XPA,each,false,eax1,
lightspeed:20691643,Bintang,each,false,eax1,
lightspeed:20691644,Tsingtao Longneck,each,false,eax1,
lightspeed:20691647,Kaiju Hazy Pale [HG],each,false,eax1,
lightspeed:20691649,Philter Old Ale [HG],each,false,eax1,
lightspeed:20700602,Angas & Bremer Grenache - Bottle,ml,false,mlx2,
lightspeed:20700616,Angas & Bremer Rosé - Bottle,ml,false,mlx2,
lightspeed:20700620,Palloncino Prosecco - Bottle,ml,false,mlx3,
lightspeed:20700625,Esoterico Orange - Bottle,ml,false,mlx2,
lightspeed:20700630,Geppetto Chardonnay - Bottle,ml,false,mlx2,
lightspeed:20700634,L'esprit Rosé - Bottle,ml,false,mlx2,
lightspeed:20700639,Azurescens Pinot Noir - Bottle,ml,false,mlx2,
lightspeed:20700643,Kuku Sauv Blanc - Bottle,ml,false,mlx2,
lightspeed:20700646,From Sundays Shiraz - Bottle,ml,false,mlx2,
lightspeed:20700650,River Retreat Pinot Grigio - Bottle,ml,false,mlx2,
lightspeed:20702600,Pepsi Glass,each,false,eax1,
lightspeed:20710023,Frangelico [Bottle],ml,false,mlx2,
lightspeed:20710041,Cherry Heering [Bottle],ml,false,mlx1,
lightspeed:20710102,Canadian Club [Bottle],ml,false,mlx2,
lightspeed:20710120,Fireball [Bottle],ml,false,mlx2,
lightspeed:20710158,Tempus Fugit Creme de Banane [Bottle],ml,false,mlx2,
lightspeed:20727770,Bickfords Raspberry Cordial [Bottle],ml,false,mlx2,
lightspeed:20727774,Bittermen's Burlesque Bitters,ml,false,mlx1,
lightspeed:20727779,Bittermen's Tiki Bitters [Bottle],ml,false,mlx1,
lightspeed:20727873,St. Felix Bitter Aperitivo [Bottle],ml,false,mlx1,
lightspeed:20727954,De Kuyper Butterscotch Schnapps [Bottle],ml,false,mlx1,
lightspeed:20727968,De Kuyper Peach Schnapps [Bottle],ml,false,mlx1,
lightspeed:20728346,Sibiliana Nero D'Avola - Bottle,ml,false,mlx3,
lightspeed:20728902,Casa Gheller Prosecco - Bottle,ml,false,mlx2,
lightspeed:20729541,Michter's Bourbon [Bottle],ml,false,mlx1,
lightspeed:20729561,Joseph Cartron Creme de Peche [Bottle],ml,false,mlx1,
lightspeed:20744471,Rooster Blanco Tequila [Bottle],ml,false,mlx6,
lightspeed:20744549,Alehouse Premium Lager [Keg],ml,false,mlx5,
lightspeed:20744554,Grifter XPA [Keg],ml,false,mlx4,
lightspeed:20744653,Roku Gin [Bottle],ml,false,mlx1,
lightspeed:20744656,Haku Vodka [Bottle],ml,false,mlx1,
lightspeed:20744663,Hibiki Harmony [Bottle],ml,false,mlx1,
lightspeed:20744688,Calle 23 Blanco Tequila [Bottle],ml,false,mlx1,
lightspeed:20747514,Angostura Bitters - Bottle 200ml,ml,false,mlx4,
lightspeed:20768355,Brookie's Shirl the Pearl [Bottle],ml,false,mlx1,
lightspeed:20768400,Milagro Reposado Tequila [Bottle],ml,false,mlx1,
lightspeed:20768432,Saika Junmai Daiginjo [720ml],ml,false,mlx3,
lightspeed:20768492,Handago Junmai Ginjo [1.8L],ml,false,mlx2,
lightspeed:20768495,Tengumai Umajan Junmai [1.8L],ml,false,mlx2,
lightspeed:20779180,Pepsi Max Glass,each,false,eax1,
lightspeed:20786711,Kirin [Keg],ml,false,mlx2,
lightspeed:20795747,Monteith's Apple Cider [HG],each,false,eax1,
lightspeed:20840007,St. Felix Yuzu Green Tea Spirit [Bottle],ml,false,mlx2,
lightspeed:20873385,Barebones Clear Ice Block,each,false,eax1,
lightspeed:20873421,Diplomatico Mantuana [Bottle],ml,false,mlx1,
