supplier,supplier_code,invoice_description,lightspeed_product,cost_per_unit_incl_gst,basis,pack_size,pack_qty,pack_unit,cost_per_base_unit,venue,source_invoice,invoice_date,in_bounds,note
Lightspeed,20492757,Cointreau 700ML,Cointreau,49.9500,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20492757
Lightspeed,20496148,Old Panther 50000ML,Old Panther,306.0000,,1,50000,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20496148
Lightspeed,20492751,Yamazaki 12yr 700ML,Yamazaki 12yr,284.8400,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20492751
Lightspeed,20512419,Brookie's Slow Gin 700ML,Brookie's Slow Gin,57.9400,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20512419
Lightspeed,20512408,Germano Caetano Cachaça 700ML,Germano Caetano Cachaça,44.7800,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20512408
Lightspeed,20512418,Joseph Cartron Apricot Brandy 700ML,Joseph Cartron Apricot Brandy,39.5100,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20512418
Lightspeed,20512429,Lillet Blanc Aperitif 750ML,Lillet Blanc Aperitif,27.8000,,1,750,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20512429
Lightspeed,20512320,Luxardo Maraschino 700ML,Luxardo Maraschino,51.4200,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20512320
Lightspeed,20512316,Tempus Fugit Violette 700ML,Tempus Fugit Violette,64.0000,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20512316
Lightspeed,20512452,Bols Genever 700ML,Bols Genever,45.3100,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20512452
Lightspeed,20512724,Pimm's Aperitif 700ML,Pimm's Aperitif,35.1700,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20512724
Lightspeed,20512800,St. Remy Brandy 700ML,St. Remy Brandy,38.3200,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20512800
Lightspeed,20645869,Crankshaft IPA 50000ML,Crankshaft IPA,377.3000,,1,50000,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20645869
Lightspeed,20645881,Veuve Clicquot Yellow Label 750ML,Veuve Clicquot Yellow Label,78.6800,,1,750,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20645881
Lightspeed,20645909,Dragonfly Grenache 750ML,Dragonfly Grenache,17.3000,,1,750,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20645909
Lightspeed,20645912,Travelling While Standing Still Gin 700ML,Travelling While Standing Still Gin,90.0000,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20645912
Lightspeed,20645902,Unico Zelo Terra Cotta 750ML,Unico Zelo Terra Cotta,17.9100,,1,750,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20645902
Lightspeed,20645919,Gosling's Black Rum 700ML,Gosling's Black Rum,63.4800,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20645919
Lightspeed,20655236,Geppetto Pinot Noir 750ML,Geppetto Pinot Noir,17.5608,,1,750,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20655236
Lightspeed,20655376,De La Grosse Beaujolais 750ML,De La Grosse Beaujolais,34.5800,,1,750,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20655376
Lightspeed,20710102,Canadian Club 700ML,Canadian Club,40.6300,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20710102
Lightspeed,20710041,Cherry Heering 700ML,Cherry Heering,43.7100,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20710041
Lightspeed,20710023,Frangelico 700ML,Frangelico,33.6700,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20710023
